歌曲名,专辑名,艺人名,歌曲译名
Saeglópur,We Play Endlessly,Sigur Rós,Lost at Sea
Let it roll,希游记,孙盛希,
梦游 (Flyaway),希游记,孙盛希,
暧 (Tensions),希游记-藏金版,孙盛希;ØZI,
爱上你只是我的错 (Acoustic),认识李雨寰,李雨寰;杨乃文,
证据 (Live),绝世名伶演唱会,范晓萱,
最初的地方 (Live),冬之火 九重天演唱会特选录音专辑,杨乃文;伍佰 & China Blue,
望江亭,诗,王诗安,Wang Jiang Ting
Goodnight,Goodnight,lofee,
Butterfly,Butterfly,Lenis,
On social media,Agenda,Pet Shop Boys,
The Apocalypse Song,Marry Me,St. Vincent,
I Want You Around,I Want You Around,Snoh Aalegra,
REALiTi (Demo),Art Angels,Grimes,
Be A Body (侘寂),Visions,Grimes,
REALiTi,REALiTi,Grimes,
一场游戏一场梦,惊世记录Ⅱ,王杰,
Green & Gold (Radio Edit),BRIT Awards 2017,Lianne La Havas,
Afternoon,How Many Times Have You Driven By,Hana Vu,
You're All I Need,Keep The Flame,Craig Ruhnke,
Future Metal,Metal Galaxy,BABYMETAL,
Ready For Love,Romance,Olivia Ong,
That's The Way Love Goes (LP Version),That's the Way Love Goes,Janet Jackson,
That's the Way Love Goes,Design of a Decade 1986/1996,Janet Jackson,
All I Want for Christmas Is You,Billboard Hot 100 Singles Chart 6th January,Mariah Carey,
如燕,我们的主题曲,Olivia Ong,
夜空ノムコウ  ,innocent view ,Sotte Bosse,
送り火,Fantastic Winter Journey,我々楽,
Please Me,Now That's What I Call Music! 102,Cardi B;Bruno Mars,
Monophonic,Live at The Middle East,Pray For Sound,
Week end à Rome ,Couleurs sur Paris,Nouvelle Vague;Vanessa Paradis,
Marilyn & John,Best of Vanessa Paradis,Vanessa Paradis,
LOVE LOVE LOVE,LOVE LOVE LOVE / 嵐が来る,Dreams Come True,
Ain't No Mountain High Enough,"Bridget Jones's Diary, Vol. 2 (More Music from the Motion Picture) ",Diana Ross,
至幸,源氏物語千年紀  Genji (Original Soundtrack),S.E.N.S.,
TIME AFTER TIME,misora sketch,canappeco,
"Dmitri Shostakovich: The Gadfly, suite from the film score, Op. 97a (Assembled by Atovmyan) - 10. No","Shostakovich Edition: Symphonies, Concertos, Suites, String Quartets, Chamber Music",National Symphony Orchestra Of Ukraine;Theodore Kuchar,
我听这种音乐的时候最爱你,我听这种音乐的时候最爱你,龙宽九段,
"Antonio Vivaldi: Concerto for Viola d'amore, Lute, Strings and Continuo in D minor , RV.540, Arr. fo",Ultimate Baroque: The Essential Masterpieces,Eduardo Fernandez;Norbert Blume;English Chamber Orchestra;George Malcolm,"维瓦尔第：D小调抒情维奥尔琴、鲁特琴与弦乐二重协奏曲, RV.540 - III 快板"
想念你,挂住你,庾澄庆,
海枯石烂,Romance,Olivia Ong,
Underachiever,Suite(s),Ex Libras,
Let's Start From Here,星座圣典,王若琳,
Loneliness,Milano Fashion Vol. 6,Blank & Jones,
天国はまだ遠い,LSC,ラブリーサマーちゃん,
(Sittin' On) The Dock Of The Bay,Soul & Bossa,小野リサ,
More~Fly Me To The Moon~Moon River,Jazz Cover,森田葉月&森川七月,
Grapevine Valentine (Acoustic Version),Brave Love,Kingsfoil,
玫瑰少年,玫瑰少年,五月天,Womxnly
New York (Oliver Nelson Remix),New York,Urban Cone,
Good to Love,Good to Love,FKA twigs,
Only Truth I Know,... And Relax,I eat Plants for a living,
we don't talk anymore (finding hope remix),we don't talk anymore (finding hope remix),Finding Hope,
时光正好,时光正好,郁可唯,
You Say,You Say,Anthem Lights,
置身事外,跳脱,mAjorHon;Shawee,The Outsider
Build It Better,Build It Better,Aron Wright,
Breathe (Original Mix),Breathe,EMBRZ,
Out Like A Light,Out Like A Light,The Honeysticks;Ricky Montgomery,
Begin (feat. Wales),Begin,Shallou,
If Only,Shanti,Raveena,
不想睡,恋爱的力量,梁静茹,
Mother To Child,Nothing Lasts Forever (And It's Fine),Flora Cash,
月桂女神,不想长大,S.H.E,Laurel Tree Goddess
河滨公园,Super Star,S.H.E,Riverside Park
I.O.I.O,Super Star,S.H.E,
热带雨林,青春株式会社,S.H.E,Tropical Rain Forest
店小二,我的电台,S.H.E,Waiter
爱情的海洋,美丽新世界,S.H.E,Ocean Of Love
God Is a Woman,Now That's What I Call Music! 101,Ariana Grande,
遗失的美好,爱的主题歌,张韶涵,
Higher Love (Matoma Remix),Higher Love (Matoma Remix),Matoma,
New York City,The Greatest Hits,Norah Jones,
 Buttons,Girls In The City,The Pussycat Dolls,
Sexy Back,2007 Grammy Nominees,Justin Timberlake,
Run This Town,Run This Town,Rihanna;Kanye West;Jay Z,
Don't Say (Felix Palmqvist & Severo Remix),Don't Say (Felix Palmqvist & Severo Remix),Felix Palmqvist;Severo;The Chainsmokers,
莲花,我听这种音乐的时候最爱你,龙宽九段,
LONG TIME NO SEE -KR Ver.-,WELCOME BACK -COMPLETE EDITION-,iKON,
에너제틱,1X1=1(TO BE ONE),Wanna One,Energetic
小步舞曲,Groupies,陈绮贞,A Little Step
I Knew You Were Trouble,Red,Taylor Swift,我知道你是大麻烦.
My Childhood,Dear Seba Jun,ElyonBeats,
完美孤独,宝贝,莫文蔚,
Sweet Mambo,Refuges,René Aubry,
为你我受冷风吹 (Live),理性与感性 作品音乐会,梁静茹,
乐园 (粤语版),10乐园,与非门,
我只在乎你,我只在乎你,马吟吟,
nice try,nice try,lovelord;olivia herdt ⁂,
III (Find Yourself),Who You Are Is Not Enough,Athletics,
Baby Song (Live),IF Only 如果 田馥甄巡回演唱会LIVE (下),田馥甄,
嫉妒,滚石香港黄金十年 陈绮贞精选,陈绮贞,
SELFISH (feat. 슬기 Of Red Velvet),SELFISH,玟星;涩琪,
사이렌,WARNING,宣美,Siren
WEE WOO,HI! PRISTIN,PRISTIN,
Behind,Back to Start,黄淑惠,
一步成诗,诗,王诗安,Poem
꿈꾸는 광대들,왕의 남자 O.S.T,李秉佑,做梦的戏子们
天空,练歌本,蔡依林,
美丽新世界,美丽新世界,S.H.E,Genesis
黑色柳丁 (Live),Power Of Live 影音全记录珍藏盘,陶喆,
沙滩 / Over The Rainbow (Live),Power Of Live 影音全记录珍藏盘,陶喆,
Melody (Live),Power Of Live 影音全记录珍藏盘,陶喆,
如果有一天,勇气,梁静茹,If One Day
茉莉花,燕尾蝶,梁静茹,Jasmine
爱久见人心,爱久见人心,梁静茹,
Chanel,Chanel,kavv,
第三者,恋爱的力量,梁静茹,
Across the Stream,Hybrid,Elsiane,
CATHY,Light Mellow,当山ひとみ,
别说对不起,Encore,S.H.E,Don't Say Sorry
喜欢你，但害怕,喜欢你，但害怕,戴尔基;王圣夫,
Vacation,RINI,RINI,
On Forgetting,Paper Window,Jeff Pianki,
Sabotage,Sabotage,Amy Stroup,
也许你不懂,谢谢你曾经让我悲伤,原子邦妮 Astro Bunny,Maybe You Don't Understand
Silent Night,Ultimate Christmas Collection,Dave Koz;Peter White,
Dancing Two Hundred Times,Apeiron,Sad Souls,
Tell Me,Sleepless in Berlin,AK,
The Apl Song,Elephunk,The Black Eyed Peas,
僕が死のうと思ったのは (Live),MTV Unplugged,中島美嘉,
回家,Shunza,顺子,Come Home
偿还 / 红豆 (Live),菲比寻常Live!,王菲,
I'm Always Here,Finding Stride,Re:plus;二宮愛,
old tape,old tape,Nurd prince,
magnolia,magnolia,keshi,
One For You,One For You,Gill Chang;glasscat,
♡beat,♡beat,StrawberryPapa;Childish Gambino,Heartbeat remix
Stones (selected by Allison Anders) ,Hits Are For Squares,Sonic Youth,
はじまりの日,はじまりの日,じょん,
愚人的国度,是时候,孙燕姿,
Dance for Me Wallis,W.E. (Music from the Motion Picture),Abel Korzeniowski,
DAGUZA,機動戦士ガンダムUC オリジナルサウンドトラック2,澤野弘之,
追忆,东邪西毒 电影原声带,陈勋奇,
Breathing,Breathing,Oscar & The Wolf,
FAKE LOVE (Japanese version) (Remix),FAKE LOVE / Airplane pt.2,防弹少年团,
짧은 치마,짧은치마,AOA,短裙 / Miniskirt
NoNoNo (Japanese Ver.),NoNoNo (Japanese Ver.),Apink,
左近のテーマ,人形草紙あやつり左近 ― オリジナル・サウンドトラック 1,中村由利子,
伸手摘下了 (男孩 Part2),男孩 / A Portrait In Time,Lu1,
美♂-K $タすpAd,GUILTY CROWN SOUNDTRACK ANOTHER SIDE 01,澤野弘之,Bios-K+S+Pad
Silent Love (Main Theme),A Scene at the Sea,久石譲,
15 years ago,TBS系 金曜ドラマ「アリスの棘」オリジナル・サウンドトラック,横山克,
Sweetheart,Sweetheart,邓福如 AFÜ;Any安伟,
Touch,Love You,Barcelona,
Sex Therapy,Sex Therapy: The Session,Robin Thicke,
I Bet You Look Good on the Dancefloor,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,
百鬼夜行抄,百鬼夜行抄 o.s.t,森英治,
定情,情定少林寺,鲍比达,
A Tayal Folk Song,Chinese Bamboo Flute Music,陈中申,泰雅风情
摆渡人之歌,水色,范宗沛,
Forgiven (Original Mix),Forgiven,Yal!X,
Crossing Winds (Original),Crossing Winds,Jacoo,
Midnight City,"Hurry Up, We're Dreaming",M83,
京鹿子娘道成寺,三味線·杵屋五三助,杵屋五三郎,
Thru The Rain (Original Mix),Nowhere,Roald Velden,
Tabu (Original Mix),Tabu,Artbat,
Dancing the Blues Away,Dancing Down the Stony Road,Chris Rea,
Sorry,Sorry,艾福杰尼,
Natura (Original Mix),Autumn Selections 03,Lessov,
"Antonio Vivaldi: Concerto for Violin and Strings in G minor, Op.8, No.2, R.315 ""L'estate"" - II. Adag",Ultimate Baroque: The Essential Masterpieces,Mariana Sirbu;野入志津子;Francesco Buccarella;I Musici,"2, R.315 - II 柔板 - 急板 - 柔板 / 维瓦尔第：G小调第二号小提琴协奏曲“夏”, Op.8"
电梯,0:00,郁可唯,Love Passing By
不散的筵席,神经志,丁世光,I Miss You
Tired (3D/ Remix),Tired (3D/ Remix),Alan Walker;Gavin James,
Attention,Mastermix Pro Disc 204,Charlie Puth,
On My Way,On My Way,Charlie Brennan,
Find You (Club Mix),Find You,Charming Horses;MpH,
流光飞舞 (粤语),青蛇 电影原声带,陈淑桦,
野草闲花蓬春生,葬心 阮玲玉电影原声带,黄莺莺,From Old To New Remix (葬心30年代版)
遗书,遗书,蔡健雅,
沐春风,沐春风,谢安琪,
大眠,爱。心凌,王心凌,The Big Sleep
내 마음 들리나요(能听见我的心吗),步步惊心-丽,Shadow,
Shadow,Shadow,朱婧汐,如影随形
Decision - Tu ne tueras point (Live),2046 (Bande Originale du Film),Zbigniew Preisner,
Exodus,"Lust, Caution (Original Motion Picture Soundtrack)",Alexandre Desplat,逃难潮
When You Believe,Greatest Hits,Mariah Carey;Whitney Houston,"#1's, 1998"
"Pyotr Ilyich Tchaikovsky: Swan Lake, Op.20, Act 2 - No.13d Danse des petits cygnes (Allegro moderato",Ultimate Tchaikovsky: The Essential Masterpieces,Chantal Juillet;Orchestre Symphonique de Montréal;Charles Dutoit;Guy Fouquet,
《出埃及记》主题曲,不朽的旋律,中国国家交响乐团,
Them,Victoria,Nils Frahm,
Weak Me,Ichiru,Daigo Hanada,
Sorry (Dear. Daddy),NU ABO,f(x),
夜光航线,夜光航线,吴佩慈,
Only One,Only One,BoA,
Sleeping In,Sleeping In,PHIL GOOD,
너 때문에,너 때문에,After School,因为你
予感,二胡陽炎 ～ 千秋恋歌,Sensitive Heart,
带我走 (Live),10年有丞 异想天开 Live,杨丞琳,
Over The Love,The Great Gatsby (Music from Baz Luhrmann's Film),Soundtrack,
I Like That,몰아애,Sistar,
너 그리고 나,여자친구 The 1st Album 'LOL',GFRIEND,Navillera / 你还有我
Lonesome Summer,Slow Meadow,Slow Meadow,
亲爱的你怎么不在身边,爱的主题曲 十七岁的天空,江美琪,
蝴蝶泉边,崽崽,黄雅莉,
Better with You,Good Thing,Lenno;Bee's Knees;Monogem,
勿忘你,今日营业中,林宥嘉,Roots
波子汽水,波子汽水,yocho;雷雨心,
喜欢你 (Live),收•音•,徐佳莹,
"Crown of Amber Canopy, Part 2","Crown of Amber Canopy, Parts 1 and 2",Slow Meadow,
Kizuna World (Aichi),The Best of 'Playing the Orchestra 2014',坂本龍一,
Quiet,Buddhists,小濑村晶,
Without You,The Piano Guys: Hits Volume 1,The Piano Guys,
想自由 (Live) ,八强诞生周·下,陈昊宇,
About You,Mirage,Else;Aether,
Baby Steps,TWINKLE,少女时代-泰蒂徐,
Green & Gold (Kartell Remix),Green & Gold (Kartell Remix),Lianne La Havas;Kartell,
Undan hulu,...And They Have Escaped the Weight of Darkness,Ólafur Arnalds,
八重の桜 紀行 (cello & piano ver.),NHK大河ドラマ「八重の桜」オリジナル・サウンドトラック II,坂本龍一;藤原真理,坂本龍一
舍不得是我 (Live),2016超级女声 总决赛第二场,汪睿,
Happy End,THREE,坂本龍一,
想自由 (Live),神游世界巡回演唱会 台北旗舰场,林宥嘉,
夜曲,十一月的萧邦,周杰伦,Nocturne
天堂口,天堂口,舒淇,
Eyes On Me,FINAL FANTASY Vocal Collection,日本ACG,
나란놈,나란놈,적재,像我这样的家伙
宿命,星宿小怪,西皮士,
我对不起我 / 你太猖狂 (Live),IF Only 如果 田馥甄巡回演唱会LIVE (下),田馥甄,
Revenge (Extended Mix),Solitude,Tontario,
rain,Playing the Piano 2009 Japan,坂本龍一,
叶子,受了点伤,阿桑,
过敏,她&她 好女真爱歌,杨丞琳,
心酸 / 浪费 / 耳朵 / 想自由 (Live),The GREAT YOGA 演唱会数位Live精选,林宥嘉,
你就不要想起我,渺小,田馥甄,You Better Not Think About Me
피노키오 (Danger),Hot Summer [Repackage],f(x),匹诺曹 / Pinnochio
Why,Why - The 2nd Mini Album,太妍,
NoNoNo,Secret Garden,Apink,
想自由,美妙生活,林宥嘉,Freedom
跳完这支舞吧，我的恋人,那些我想对你说的话,羽果,
To My Son's Father,Stolen Joy,偷喜办,
风起云涌,11,与非门,
Blow Your Mind (Mwah),Now That's What I Call Music! 95,Dua Lipa,
凪ぎ,UBUD Dua,吉田潔,风平浪静 / Nagi
뱅(Bang) !,BANG!,After School,
Frédéric Chopin: Prelude No.4 Op.28/4,Chopinderful!: Chopin Meets Jazz,Louis van Dijk Trio,前奏曲　第4番
Overdose,Overdose,Mullally,
NEKKOYA (PICK ME),PRODUCE 48 - 내꺼야 (是我的) (PICK ME),PRODUCE 48,
Dimensions,Her (A Spike Jonze Love Story),Arcade Fire,
OOH-AHH하게,THE STORY BEGINS,TWICE,优雅地 / Like OOH-AHH
Pick Me,Chrysalis,I.O.I,
너무너무너무,miss me?,I.O.I,Very Very Very
불장난,SQUARE TWO,BLACKPINK,玩火 / PLAYING WITH FIRE
Why So Lonely,Why So Lonely,Wonder Girls,
All Mine,All Mine,f(x),
다시 만난 세계 (Into The New World),다시 만난 세계,少女时代,再次重逢的世界
보름달,Full Moon,宣美;Lena,Full Moon / 满月
가시나,SUNMI SPECIAL EDITION [가시나],宣美,Gashina
橘色温度,3颗猫饼干,何真真,If You Were By My Side
Sakitama~幸魂~,Sakitama~幸魂~,Rin',
Merry Christmas Mr. Lawrence re-modeled by Goro Ito,Christmas Songs,坂本龍一,
I Want You,I Want You,Robotaki;Manila Killa,
Colours,Roosevelt,Roosevelt,
After the Disco,After The Disco,Broken Bells,
Indecision,White Light,Shura,
다시 만나 (See you again),PRODUCE 48 - 30 Girls 6 Concepts,姜惠元;宮脇咲良;竹内美宥;王怡人;朴海允,再次见面
내꺼야 (是我的) (PICK ME),PRODUCE 48 - 내꺼야 (是我的) (PICK ME),PRODUCE 48,
24시간이 모자라,Full Moon,宣美,24 Hours / 24小时也不够
躺在你的衣柜 (Piano),Groupies,陈绮贞,In My Closet
꿈꾸는 마음으로,Dream your dream,宇宙少女,Dreams Come True
Party Monster,Starboy,The Weeknd,
Die For You,Starboy,The Weeknd,
火宵の月・テーマ,火宵の月 オリジナル・サウンドトラック,中村由利子,
夜想月雫 (Piano Arranged Version)  ,十二国記 夜想月雫~Piano Memories ,梁邦彦,
A Lunar Sanctuary,NHKスペシャル「新シルクロード2007」激動の大地を行く オリジナル・サウンドトラック,吉田潔,月光神殿
Walk It Talk It,Culture II,Migos;Drake,
Mine,Mine,Bazzi,
Psycho,Psycho,Post Malone;Ty Dolla $ign,
Better Now,Beerbongs & Bentleys,Post Malone,
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,
Lalala Love      ,Mmm... Gumbo?,Room Eleven,
네 멋대로,Like a V,PRISTIN V,Get it
Control,Control,Gigamesh;Caroline Smith,
Sway,Sway,Anton Borin,
「Reset」~「ありがとう」バージョン~,大神 オリジナル・サウンドトラック,上田雅美,
Time Is Changing ,白騎士物語 -古の鼓動- 特典 LEVEL-5×PlayStation スペシャルサウンドトラックCD付き,日本ACG,
Luv Letter,Mirror,DJ OKAWARI,
木蘭の涙,LOVE BALLADES/ちょっとひとりKOTO2,宮西希,
"Ludwig van Beethoven: Sonata for Violin and Piano No.5 in F, Op.24 - ""Spring"" - IV. Rondo (Allegro m",Ultimate Violin Classics: The Essential Masterpieces,David Oistrakh;Lev Oborin,"贝多芬：F大调第五号小提琴奏鸣曲“春天”, Op.24"
清风曲,冰火岛,西皮士,
朝明,源氏物語千年紀  Genji (Original Soundtrack),S.E.N.S.,
Bad Boy,The Perfect Red Velvet – The 2nd Album Repackage,Red Velvet,
첫 사랑니 (Rum Pum Pum Pum),Pink Tape,f(x),初智齿
4 Walls,4 Walls - The 4th Album,f(x),
星际流浪,遇见小王子,何真真,
Generationwhy,Generationwhy,ZHU,
木星 Jupiter,空～心を青く染めるとき～,贾鹏新;贾鹏芳,
伴,简单/不简单,黄小琥,
Letting Go,Letting Go,Sawyer,
同步共鸣,同步共鸣,Ànimo,
Fortune Days,Drink The Sea,The Glitch Mob,
Circles (Eric Prydz Remix),Circles (Remixed),Digitalism,
深窓の令嬢,化物語音楽全集 Songs&Soundtracks,神前暁,
Up in the Sky,Bamboo,松居和,
Another Love,Songs from Another Love,Tom Odell,
Room Of Angel,Silent Hill 4: The Room (Original Soundtracks),Melissa Williamson ;山岡晃,
Into the Sea,Film Music (El Mar),Heinali,
L.I.F.E,500 Days,Rous,
Prelude: Per Aspera Ad Astra,I Will Always Be There,Alnea,
Forever,Episode,Stratovarius,
Tie In,On Acid,Recondite,
Elle Theme,SILENT HILL SOUNDS BOX,山岡晃,
El Unico,La Caina Vue Mer,Caïna,
茄子,茄子,与非门;朱婧汐,
WHISTLE,SQUARE ONE,BLACKPINK,휘파람 / 口哨
SUNSET,TRANSIT,Blu-Swing,
さらい屋五葉,さらい屋五葉 音楽集,MOKA☆,
Tale,Escapism,Awon;Ine;Kondor,
「風林火山」~月冴ゆ夜~,蒼風,上妻宏光,
Cold Sea,Lights,the lights streaming through the sounds,
Do What You Are Doing,Solo,Dexter Britain,
Impartial,Solo Piano Works - Volume One,Egor Grushin,
Let Me F*** You,Lambo Club,Sartana,
3AM (Swindail Remix),3AM Remixes,Vaski;swindail,
Marilyn Monroe,Marilyn Monroe,SEVDALIZA,
Jump!,Legacy,Two Steps From Hell,
柠檬草的味道,J-Top冠军精选,蔡依林,
Something Just Like This,Something Just Like This,The Chainsmokers;Coldplay,
M,A BEST,浜崎あゆみ,
The Beauty of the Way We're Living,Strangely Beautiful,Club 8,
Cold Hearts,Strangely Beautiful,Club 8,
You Could Be Anybody,Above The City,Club 8,
Love In December,Best Wishes - Best Of Club 8,Club 8,
We Are One,We Are One,Kelly Sweet,
southern skies,Pacific.Atlantic,The End Of The Ocean,
Decembers,If Only You Were Lonely,Hawthorne Heights,
Traveling Light,Traveling Light,Joel Hanson;Sara Groves,
Lesson No. 1,The Heat Can Melt Your Brain,Viva Voce,
Piano Song ,Meiko,Meiko,
Never Grow Old,Wake Up and Smell the Coffee,The Cranberries,
Baby Please,Warm On A Cold Night,HONNE,
口香糖,顺时针,梁咏琪,
双刀,叶惠美,周杰伦,
追光者,夏至未至 电视原声带,岑宁儿,
One Day,One Day / In The Sea,Uyama Hiroto,
追光者（Ánimo remix）,The Animo is Censored Vol.2,Ànimo,
Teenage Fantasy (Glen Check Remix),Teenage Fantasy,Gibbz;Cherokee,
躲猫猫 (Peek-A-Boo),Perfect Velvet – The 2nd Album,Red Velvet,
Looking For Sunshine,Wildfire,YEAH BOY,
Not Around (JackLNDN Remix),Not Around (JackLNDN Remix),Montgomery;Jack​LNDN,
青春ボンバーGuitar1,野ブタ。をプロデュース o.s.t オリジナル・サウンドトラック,池頼広,
月下香,火宵の月 オリジナル・サウンドトラック,中村由利子,
彩蝶舞夏,京城四季 (一),何真真,
SILENT MOON(サイレント・ムーン),ASIENCE SPIRIT OF ASIA,贾鹏芳,
Do You Want My Love,Just No Other Way,李玟,
Do You Want My Love (radio edit),Do You Want My Love,李玟,
Refuse,Refuse,Kevin Garrett,
Inside,Night Songs,Aron Bergen,
La Fique (Original Mix),La Fique,Robosonic;Adana Twins,
"Claude Debussy: Suite bergamasque, for piano, L. 75 - Clair de lune",Debussy: Piano Works,Claudio Arrau,
かすかなしるし,かすかなしるし,藤原ヒロシ,
First Love,First Love,宇多田ヒカル,
Wildfire,Wildfire,YEAH BOY,
BUDDAHAM-NextRo,BUDDAHAM,NextRO,
流水,遠TONE音,遠TONE音,Flowing Water
Get Lucky,Random Access Memories,Pharrell Williams;Daft Punk,
Afraid,Afraid,Xavier Omär,
秦淮景 (艺伎齐唱),金陵十三钗 电影原声带,陈其钢,Qin Huai Legend VII (Geishas' Chorus)
春歌,波罗密多,何训田,
Nothing's Gonna Change My Love For You,Timeless 可啦思刻,方大同,O.S. Glenn Medeiros
ハーフムーン・セレナーデ,Scarlet,河合奈保子,
